iter	Passed	Remaining
0	1	1027
1	3	1881
2	5	1668
3	6	1555
4	8	1620
5	10	1689
6	12	1724
7	14	1828
8	16	1765
9	16	1681
10	19	1745
11	22	1888
12	25	1914
13	27	1954
14	30	1979
15	32	1997
16	36	2100
17	39	2129
18	40	2072
19	42	2091
20	45	2116
21	48	2165
22	52	2234
23	55	2239
24	57	2261
25	60	2264
26	63	2270
27	66	2294
28	68	2300
29	69	2240
30	70	2191
31	72	2195
32	74	2195
33	77	2198
34	81	2239
35	84	2272
36	90	2343
37	93	2363
38	96	2370
39	99	2393
40	102	2402
41	105	2406
42	108	2411
43	110	2390
44	112	2393
45	116	2421
46	119	2426
47	122	2435
48	125	2436
49	128	2434
50	129	2409
51	133	2424
52	135	2425
53	138	2428
54	140	2420
55	143	2416
56	145	2411
57	147	2395
58	151	2415
59	154	2415
60	157	2419
61	158	2399
62	159	2371
63	160	2348
64	163	2350
65	167	2367
66	168	2346
67	171	2345
68	174	2351
69	176	2348
70	179	2353
71	184	2376
72	188	2390
73	188	2363
74	191	2360
75	195	2371
76	198	2378
77	202	2390
78	205	2391
79	208	2392
80	211	2399
81	215	2412
82	218	2408
83	220	2404
84	223	2406
85	227	2413
86	230	2416
87	232	2413
88	235	2412
89	238	2407
90	240	2405
91	243	2405
92	247	2412
93	249	2403
94	252	2402
95	254	2396
96	256	2389
97	259	2388
98	262	2386
99	266	2395
100	268	2391
101	271	2386
102	273	2381
103	275	2375
104	276	2359
105	277	2341
106	278	2324
107	279	2306
108	284	2321
109	286	2319
110	287	2304
111	289	2292
112	291	2288
113	293	2277
114	294	2268
115	295	2251
116	297	2248
117	300	2245
118	301	2232
119	303	2229
120	304	2211
121	306	2208
122	309	2207
123	312	2205
124	314	2200
125	316	2197
126	317	2181
127	319	2173
128	321	2167
129	323	2165
130	326	2167
131	327	2153
132	329	2147
133	331	2145
134	334	2142
135	336	2138
136	339	2136
137	341	2135
138	344	2136
139	347	2133
140	349	2129
141	352	2127
142	354	2126
143	357	2126
144	361	2131
145	363	2127
146	366	2126
147	367	2113
148	369	2110
149	371	2107
150	374	2106
151	376	2100
152	377	2089
153	381	2094
154	383	2092
155	386	2090
156	388	2088
157	390	2079
158	393	2079
159	394	2069
160	395	2061
161	397	2053
162	399	2050
163	401	2044
164	403	2042
165	405	2038
166	407	2034
167	410	2030
168	413	2031
169	415	2028
170	415	2015
171	416	2006
172	419	2004
173	419	1993
174	422	1992
175	424	1986
176	426	1984
177	427	1974
178	429	1971
179	432	1970
180	435	1968
181	437	1966
182	440	1964
183	443	1967
184	444	1957
185	446	1953
186	447	1945
187	449	1943
188	452	1941
189	455	1940
190	457	1939
191	460	1937
192	462	1934
193	465	1935
194	468	1932
195	468	1921
196	470	1919
197	471	1910
198	474	1908
199	476	1906
200	478	1904
201	481	1902
202	482	1893
203	484	1891
204	486	1887
205	489	1886
206	492	1885
207	494	1882
208	496	1880
209	498	1876
210	501	1873
211	503	1871
212	506	1871
213	508	1868
214	511	1866
215	513	1863
216	514	1854
217	514	1846
218	517	1845
219	519	1842
220	520	1835
221	523	1835
222	525	1832
223	526	1824
224	528	1821
225	529	1814
226	530	1806
227	531	1799
228	533	1797
229	536	1795
230	537	1788
231	539	1786
232	541	1783
233	543	1780
234	546	1778
235	548	1776
236	551	1774
237	553	1772
238	556	1772
239	559	1771
240	561	1769
241	564	1767
242	566	1765
243	568	1762
244	571	1759
245	573	1757
246	575	1754
247	577	1752
248	580	1750
249	581	1743
250	583	1741
251	584	1734
252	587	1734
253	588	1729
254	591	1727
255	593	1726
256	596	1725
257	599	1724
258	601	1721
259	606	1724
260	607	1720
261	610	1718
262	612	1716
263	614	1714
264	617	1713
265	620	1713
266	622	1710
267	625	1708
268	627	1706
269	630	1704
270	632	1701
271	635	1701
272	638	1699
273	639	1693
274	641	1691
275	644	1689
276	646	1687
277	649	1686
278	652	1685
279	654	1683
280	656	1681
281	659	1678
282	661	1677
283	664	1674
284	666	1672
285	670	1673
286	672	1670
287	675	1670
288	678	1668
289	680	1666
290	683	1664
291	686	1663
292	687	1659
293	690	1657
294	692	1655
295	695	1653
296	697	1651
297	699	1648
298	702	1647
299	705	1645
300	707	1643
301	710	1641
302	712	1638
303	714	1636
304	717	1634
305	719	1632
306	722	1630
307	725	1628
308	727	1626
309	729	1624
310	732	1623
311	735	1621
312	738	1619
313	740	1618
314	743	1616
315	745	1614
316	748	1612
317	751	1610
318	753	1608
319	756	1606
320	758	1604
321	761	1602
322	763	1600
323	766	1599
324	769	1598
325	772	1596
326	774	1593
327	777	1592
328	780	1591
329	785	1595
